STUDENT_ID|COURSE_CODE|COURSE_NAME|SEMESTER|YEAR|GRADE|CREDITS|INSTRUCTOR
1001|MTH101|Algebra I|FALL|2023|A|3|J. WILSON
1001|ENG101|English Composition|FALL|2023|B+|3|M. JOHNSON
1001|SCI101|Biology|fall|2023|A-|4|R. SMITH
1002|MTH101|Algebra I|FALL|2023|B|3|J. WILSON
1002|ENG101|English Composition|FALL|2023|A|3|M. JOHNSON
1002|MTH101|Algebra I|FALL|2023|B|3|J. WILSON
1003|HIS101|World History|Fall|2023|C+|3|K. BROWN
1003|MTH101|ALGEBRA I|FALL|2023|B-|3|j. wilson
1004|SCI101|biology|FALL|2023||4|R. Smith
1004|ENG101|English Composition|FALL|2023|A|3|M. Johnson
1005|ART101|Introduction to Art|FALL|2023|A|2|L. DAVIS
1005|MTH101|Algebra I|FALL|2023|C|3|J. Wilson
